"","x"
"123","habitat characteristics"
"124","habitat components"
"125","habitat conditions"
"126","habitat features"
"127","habitat fragmentation"
"128","habitat loss"
"129","habitat management"
"130","habitat preference"
"131","habitat quality"
"132","habitat restoration"
"133","habitat selection"
"134","habitat species"
"135","habitat structure"
"136","habitat suitability"
"137","habitat type"
"138","habitat use"
"139","habitat variables"
"140","hairy woodpecker"
"141","hairy woodpeckers"
"142","hardwood forest"
"143","hardwood forests"
"144","hardwood midstory"
"145","headed woodpecker"
"146","headed woodpeckers"
"147","herbicide application"
"148","home range"
"149","home range size"
"150","home ranges"
"151","indicator species"
"152","indigo buntings"
"153","individual species"
"154","information theoretic approach"
"155","jack pine"
"156","land management"
"157","land managers"
"158","land use"
"159","landscape level"
"160","landscape scale"
"161","leaf litter"
"162","lewis's woodpecker"
"163","lewis's woodpeckers"
"164","life history"
"165","little effect"
"166","little information"
"167","live trees"
"168","loblolly pine"
"169","local scale"
"170","lodgepole pine"
"171","logistic regression"
"172","longleaf pine"
"173","longleaf pine ecosystem"
"174","longleaf pine forest"
"175","longleaf pine forests"
"176","low intensity"
"177","low severity"
"178","management actions"
"179","management activities"
"180","management objectives"
"181","management practices"
"182","management strategies"
"183","management tool"
"184","mature forests"
"185","mature pine"
"186","mechanical thinning"
"187","melanerpes lewis"
"188","mixed conifer"
"189","mixed conifer forests"
"190","model selection"
"191","mountain pine"
"192","mountain pine beetle"
"193","national forest"
"194","national forests"
"195","national park"
"196","natural disturbance"
"197","natural disturbance regimes"
"198","natural disturbances"
"199","negative effect"
"200","nest cavities"
"201","nest site"
"202","nest site selection"
"203","nest sites"
"204","nest success"
"205","nest survival"
"206","nest trees"
"207","nesting bird"
"208","nesting bird species"
"209","nesting birds"
"210","nesting habitat"
"211","nesting species"
"212","north america"
"213","north american"
"214","north carolina"
"215","northern bobwhite"
"216","northern flicker"
"217","old growth"
"218","passerina cyanea"
"219","picea mariana"
"220","picoides arcticus"
"221","picoides borealis"
"222","picoides villosus"
"223","pine ecosystems"
"224","pine forest"
"225","pine forests"
"226","pine stands"
"227","pinus contorta"
"228","pinus echinata"
"229","pinus palustris"
"230","pinus ponderosa"
"231","pinus spp"
"232","pinus taeda"
"233","plant communities"
"234","plant species"
"235","ponderosa pine"
"236","ponderosa pine forests"
"237","population declines"
"238","population dynamics"
"239","population size"
"240","populus tremuloides"
"241","postfire management"
"242","postfire salvage"
"243","postfire salvage logging"
"244","prescribed burn"
"245","prescribed burning"
"246","prescribed burns"
"247","prescribed fire"
"248","prescribed fires"
"249","pseudotsuga menziesii"
"250","range size"
"251","reduction treatments"
"252","regional scale"
"253","relative abundance"
"254","reproductive success"
"255","resource selection"
"256","restoration efforts"
"257","restoration treatments"
"258","return interval"
"259","return intervals"
"260","rocky mountains"
"261","salvage logging"
"262","season burns"
"263","secondary cavity"
"264","severity fires"
"265","short term"
"266","shortleaf pine"
"267","shrub cover"
"268","sialia mexicana"
"269","sierra nevada"
"270","significant differences"
"271","significantly lower"
"272","site characteristics"
"273","site selection"
"274","sitta pusilla"
"275","small mammal"
"276","snag density"
"277","south dakota"
"278","southeastern united states"
"279","southern appalachians"
"280","southern pine"
"281","spatial patterns"
"282","spatial scales"
"283","species abundance"
"284","species composition"
"285","species density"
"286","species distribution"
"287","species diversity"
"288","species habitat"
"289","species responses"
"290","species richness"
"291","stand age"
"292","stand level"
"293","stand structure"
"294","study sites"
"295","suitable habitat"
"296","survival rates"
"297","term effects"
"298","theoretic approach"
"299","threatened species"
"300","timber harvest"
"301","timber harvesting"
"302","time since fire"
"303","tree cover"
"304","tree density"
"305","tree mortality"
"306","tree species"
"307","turdus migratorius"
"308","unburned forest"
"309","unburned forests"
"310","unburned sites"
"311","understory vegetation"
"312","vegetation characteristics"
"313","vegetation structure"
"314","vegetation types"
"315","western bluebird"
"316","western north america"
"317","wildlife habitat"
"318","wildlife management"
"319","wildlife society"
"320","wildlife species"
"321","woodpecker nests"
"322","woodpecker population"
"323","woodpecker populations"
"324","woodpecker species"
"325","woody debris"
"326","woody vegetation"
