group,term,x
no,tree use,62
process,coarse woody debris volume,78
process,dead branches,63
process,down wood,78
no,eastern wood,121
no,forest and woodland,445
no,hardwood forest,194
no,hardwood forests,248
no,hardwood midstory,222
no,hardwood species,93
no,hardwood stands,161
no,longleaf pine flatwoods,99
no,mixed hardwood forests,86
no,oak woodlands,133
no,pine flatwoods,142
no,pine woodlands,117
no,upland hardwood,134
no,upland hardwood forest,96
no,western wood,61
process,wood borers,59
process,wood decay,55
no,wood products,56
no,wood thrush,82
no,wood thrushes,67
no,woodland conditions,85
process,woody material,49
process,woody plant species,59
process,woody species,131
process,woody stems,78
process,larger diameter,163
no,british ecological society,108
no,disturbance ecology,39
no,ecological benefits,59
no,ecological consequences,141
no,ecological effects,92
no,ecological factors,61
no,ecological functions,74
no,ecological impacts,50
no,ecological importance,44
no,ecological integrity,60
no,ecological relationships,73
no,ecological requirements,33
no,ecological restoration,378
no,ecological restoration international,67
no,ecological role,110
no,ecological society,386
no,ecological values,28
no,landscape ecology,96
no,restoration ecology,36
no,terrestrial ecology,44
no,ecosystem processes,134
fire,natural disturbance processes,64
no,natural processes,55
response,population processes,41
process,successional processes,73
process,available resources,49
no,forest resources,77
no,natural resources,25
process,resource availability,58
no,resource managers,50
process,resource selection,202
process,nesting behavior,60
no,aged forest,44
no,american foresters,102
no,american forests,131
no,angelina national forest,74
no,apalachicola national forest,78
no,black spruce boreal forest,54
no,black spruce forest,44
no,boreal forest,900
no,boreal forest landscapes,114
no,boreal forests,528
no,canadian boreal forest,97
no,canopy forest,144
no,canopy forests,257
no,conecuh national forest,51
no,conifer forest,360
no,conifer forests,576
no,coniferous forest,251
no,coniferous forests,405
no,deciduous forest,60
no,deciduous forests,72
no,degraded forest,37
no,disturbed forest,92
no,dry conifer forests,75
no,dry forest,139
no,dry forests,129
no,eastern forests,45
no,elevation forests,55
no,forest age,155
no,forest attributes,82
no,forest biodiversity,60
no,forest blocks,81
no,forest canopy,147
no,forest characteristics,106
no,forest communities,147
no,forest composition,105
no,forest conditions,321
no,forest degradation,78
no,forest disturbance,148
no,forest disturbances,69
no,forest dynamics,130
no,forest ecosystem,168
no,forest ecosystems,451
no,forest edge,18
no,forest edges,124
no,forest fauna,78
no,forest floor,331
no,forest fragmentation,217
no,forest fragments,47
no,forest harvesting,112
no,forest health,101
no,forest history,60
no,forest insects,73
no,forest landscape,230
no,forest landscapes,248
no,forest management,1863
no,forest management activities,57
no,forest management practices,246
no,forest managers,412
no,forest patches,252
no,forest productivity,82
no,forest remnants,46
no,forest restoration,556
no,forest restoration treatments,119
no,forest service,448
no,forest sites,106
no,forest specialist,106
no,forest species,301
no,forest stands,538
process,forest succession,100
no,forest thinning,153
no,forest type,227
no,forest types,513
no,forest vegetation,80
no,forested ecosystems,53
no,forested landscape,71
no,forestry practices,229
no,green forests,62
no,growth forest,205
no,growth forests,225
no,hickory forest,60
no,logged forest,109
no,longleaf forests,45
no,longleaf pine forest,188
no,longleaf pine forests,311
no,mature forest,143
no,mature forest stands,45
no,mature forests,247
no,mixed conifer forest,175
no,mixed conifer forests,234
no,mixed coniferous forests,105
no,national forest,930
no,national forests,187
no,native forest,42
no,north american forests,127
no,oak forest,124
no,oak forests,139
no,ocala national forest,37
no,osceola national forest,69
no,ouachita national forest,154
no,pine forest,550
no,pine forests,1333
no,ponderosa pine forest,57
no,ponderosa pine forests,369
no,seral forest,76
no,seral forests,49
no,southern forests,52
no,successional forests,83
no,sustainable forest management,67
no,sustainable forestry,107
no,tropical forests,100
no,undisturbed forests,109
no,unlogged forest,97
no,usda forest service,150
no,virgin forests,48
no,western north american forests,92
response,age structure,147
no,community structure,187
response,population structure,70
no,spatial structure,48
process,structural attributes,173
process,structural characteristics,133
process,structural complexity,66
process,structural differences,60
process,structural diversity,126
no,vertical structure,76
no,bare ground,106
no,ground layer,121
process,ground layer vegetation,61
no,ground level,124
no,ground nesters,80
no,fuel characteristic classification,56
no,fuel characteristic classification system,56
no,fuel characteristics,53
no,landscape characteristics,57
no,site characteristics,202
no,natural component,35
process,body condition,53
no,canopy conditions,94
no,environmental conditions,125
fire,fuel conditions,74
no,historical conditions,96
no,landscape conditions,70
no,reference conditions,127
no,seral conditions,52
no,site conditions,49
no,soil conditions,62
no,weather conditions,70
no,ecosystem restoration,297
no,grassland restoration,84
no,longleaf pine restoration,137
no,restoration efforts,282
no,restoration methods,99
no,restoration objectives,99
no,restoration planning,51
no,restoration strategies,55
no,restoration treatments,348
no,savanna restoration,103
no,model selection,229
no,roost selection,64
no,selective harvesting,71
no,selective logging,180
no,footed mouse,71
no,house wren,101
no,land use,442
no,major cause,90
no,major causes,46
response,population censuses,45
no,space use,132
no,useful tool,78
no,livestock grazing,83
no,mountain chickadee,122
no,northern rocky mountains,130
no,ouachita mountains,170
no,rocky mountains,235
no,southern appalachian mountains,109
no,corsican pine,32
no,dependent pine,45
no,jack pine,203
no,jack pine stands,71
no,loblolly pine,219
no,lodgepole pine,320
no,longleaf pine,1668
no,longleaf pine ecosystem,188
no,longleaf pine ecosystems,117
no,longleaf pine sandhills,144
no,longleaf pine savannas,49
no,longleaf pine stands,142
no,longleaf pines,126
no,mature longleaf pine,122
no,mature pine,240
no,mixed pine,127
no,pine ecosystems,262
no,pine plantation,77
no,pine plantations,172
no,pine rocklands,46
no,pine savannas,119
no,pine sawtimber,60
no,pine seeds,38
no,pine species,136
no,pine stands,561
no,ponderosa pine,1354
no,ponderosa pines,117
no,rotation pine,68
no,shortleaf pine,225
no,slash pine,101
no,southeastern pine,68
no,southern pine,270
no,subalpine fir,85
no,sugar pine,51
no,untreated pine,79
no,upland pine,137
no,white pine,68
no,yellow pine,84
process,active nests,83
no,avian nest,90
no,nest age,62
no,nest box,54
no,nest boxes,62
"response, process",nest densities,118
"response, process",nest density,136
process,nest failure,121
process,nest locations,93
process,nest predation,125
process,nest predators,128
"response, process",nesting densities,50
"response, process",nesting density,121
no,nesting period,55
no,nesting season,79
process,nesting site,92
process,nesting sites,84
no,nesting species,578
process,nesting success,162
process,nestling period,37
process,potential nesting,72
no,secondary cavity nesters,124
no,shrub nesters,56
no,species nesting,149
process,successful nests,65
no,breeding site,170
no,colony sites,31
no,control sites,96
no,opposite pattern,51
no,reference sites,120
no,roost sites,78
process,site availability,69
process,site fidelity,83
response,site occupancy,88
no,site preparation,123
no,site species,52
no,strong site,55
no,study site,137
no,study sites,209
no,breeding success,70
process,plant succession,61
process,successful reproduction,22
no,successional species,91
process,successional vegetation,65
process,reproductive output,80
process,reproductive parameters,88
process,reproductive rates,69
process,shrub density,81
process,shrub height,66
process,shrub layer,145
no,shrub species,52
no,low densities,65
no,lower densities,54
response,population densities,79
no,conifer stands,114
no,coniferous stands,77
no,control stands,115
no,deciduous stands,52
no,dense stands,77
no,growth stands,185
no,mature stands,111
no,mixed conifer stands,71
no,origin stands,95
process,stand ages,67
no,stand density,65
no,stand dynamics,67
no,stand level,247
no,stand scale,147
no,stand types,75
no,unmanaged stands,89
no,untreated stands,137
no,wildlife stand improvement,114
no,active management,77
no,adaptive management,158
no,age classes,329
no,age distribution,87
no,assemblage composition,86
no,carbon storage,57
no,conservation management,137
no,current management practices,85
no,disturbance agents,62
no,ecosystem management,227
no,effective management,103
no,foliage gleaners,112
no,intensive management,130
no,land management,457
no,land management agencies,99
no,land management tool,84
no,land managers,482
no,management actions,197
no,management activities,354
no,management agencies,99
no,management concern,86
no,management decisions,122
no,management efforts,79
no,management goals,124
no,management guidelines,72
no,management history,78
no,management implications,127
no,management intensity,85
no,management measures,37
no,management objectives,253
no,management option,46
no,management options,59
no,management practice,70
no,management practices,856
no,management regimes,77
no,management scenarios,77
no,management strategies,337
no,management strategy,104
no,management systems,61
no,management techniques,141
no,management tool,275
no,management treatments,88
no,management units,53
no,partially salvage,89
no,salvage operations,55
no,salvage treatment,58
no,scale management,63
no,seral stages,97
response,species assemblages,162
no,timber management,59
no,vegetation management,67
no,western tanager,76
no,wildlife management,239
no,annual rates,55
no,conservation strategies,105
response,detection rates,85
process,growth rates,150
process,invertebrate species,56
no,moderate levels,53
process,mortality rate,56
process,mortality rates,103
response,occupancy rates,54
response,population growth rates,59
process,predation rates,57
no,similar rates,54
no,strategic planning,65
no,terrestrial vertebrates,42
no,vertebrate species,131
no,vertebrate taxa,47
no,time frames,63
no,time periods,108
no,dependent mortality,50
no,oak mortality,25
no,herbaceous vegetation,138
no,level vegetation,61
no,midstory vegetation,91
no,riparian vegetation,67
process,vegetation change,52
no,vegetation communities,105
no,vegetation composition,135
no,vegetation data,64
no,vegetation responses,72
no,vegetation science,61
no,vegetation type,135
no,vegetation types,226
no,vegetation variables,68
no,severity data,39
no,severity patches,54
no,control plots,391
no,experimental plots,51
no,logged plots,102
no,permanent plots,59
no,reference plots,94
no,sample plots,55
no,study plots,128
no,unlogged plots,88
no,adverse effects,86
no,cumulative effects,86
no,detrimental effects,135
no,direct effects,127
no,edge effects,66
no,effective conservation,71
no,effects model,34
no,effects models,94
no,indirect effects,142
no,little effect,234
no,negative effect,191
no,negative effects,170
no,positive effect,86
no,positive effects,96
no,potential effects,87
no,quadratic effect,68
no,significant effect,37
no,significant effects,119
no,strong effects,57
no,term effects,274
no,treatment effects,67
no,variable effects,53
no,historical data,54
no,historical records,55
no,intensity levels,72
no,hydrological regimes,45
no,frequent disturbance,78
no,fuel bed,62
no,fuel complexes,69
no,fuel consumption,92
no,fuel loading,125
no,fuel loadings,49
no,fuel moisture,87
fire,fuel reduction treatments,254
no,surface fuels,56
no,reduction treatments,301
no,ammodramus henslowii,67
no,gene flow,32
process,hollow abundance,48
no,low density,103
no,significantly lower,232
no,dynamic nature,52
no,natural enemies,28
no,natural landscape,58
process,natural regeneration,90
no,natural variability,101
no,anthropogenic disturbance,153
no,anthropogenic disturbances,171
no,disturbance interactions,69
no,disturbance patterns,71
no,disturbance types,107
no,disturbed landscapes,46
no,human disturbance,115
no,scale disturbance,139
no,breeding season,599
no,breeding seasons,394
no,dormant season,289
no,growing seasons,162
"bird, response",avian abundance,93
no,avian biodiversity,105
"bird,response",avian community composition,136
no,avian conservation,126
no,avian diversity,137
no,avian responses,64
no,avian species,373
no,avian species richness,175
no,animal communities,49
no,arthropod communities,56
no,biological communities,69
no,faunal communities,93
no,grassland communities,59
no,mammal communities,85
no,plant communities,275
no,wildlife communities,104
no,compositional analysis,60
no,landscape composition,148
bird,northern flickers colaptes auratus,83
no,corsican nuthatch sitta whiteheadi,50
no,headed nuthatch,87
no,headed nuthatches,165
no,sitta whiteheadi,50
bird,melanerpes erythrocephalus,166
no,northern arizona,141
no,northern bobwhite,230
no,northern bobwhites,116
no,northern california,58
no,northern cardinal,86
no,northern cardinals,90
no,northern flickers,113
no,northern rockies,78
no,northern sierra nevada,76
no,northern spotted owl,83
no,animal populations,109
no,breeding population,62
no,insect populations,78
no,isolated populations,88
no,local populations,44
response,metapopulation dynamics,50
no,metapopulation models,48
response,population density,159
response,population growth,110
no,population level,143
no,population levels,155
response,population persistence,82
response,population responses,69
response,population sinks,58
response,population trends,135
response,population viability,84
no,populus tremuloides,358
no,populus tremuloides michx,48
no,abundant species,54
no,amphibian species,43
no,animal species,176
no,ant species,77
no,associated species,285
no,bat species,37
no,breeding species,93
no,common species,49
no,coniferous species,48
no,dependent species,340
no,dependent wildlife species,50
no,dwelling species,49
no,endangered species,462
no,focal species,154
no,game species,45
no,grassland species,74
no,herbaceous species,73
no,host species,34
no,indicator species,303
no,indicator species analysis,80
no,individual species,339
no,invasive species,105
no,key species,37
no,keystone species,78
no,listed species,67
no,mammal species,139
no,native species,133
no,numerous wildlife species,68
no,oak species,81
no,opportunistic species,69
no,plant species,341
no,plant species richness,90
no,pyrophilous species,55
no,rare species,123
no,resident species,76
no,saproxylic species,115
no,sensitive species,154
no,seven species,104
no,specialist species,135
no,species act,102
no,species breeding,98
no,species conservation,123
no,species dependent,127
response,species distribution models,159
no,species level,96
response,species occurrence,103
response,species presence,47
response,species responses,234
no,species significantly,96
no,species turnover,31
no,target species,78
no,threatened species,199
no,various species,90
no,various wildlife species,108
no,wildlife species,614
response,occupancy modeling,58
response,occupancy probability,78
response,abundance data,50
no,ant abundance,72
no,arthropod abundance,72
process,prey abundance,52
response,relative abundance,604
response,relative abundances,80
response,relatively abundant,91
response,total abundance,71
no,community dynamics,150
no,sink dynamics,56
no,temporally dynamic,41
no,class distribution,39
response,distribution patterns,47
response,spatial distribution,140
no,biodiversity conservation,231
no,biological diversity,273
no,genetic diversity,28
no,plant diversity,146
